Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1,01-01-17,7.44E+15,1,spicy miso ramen
2,01-01-17,7.44E+15,1,spicy miso ramen
3,01-01-17,8.42E+15,3,tori paitan ramen
4,01-01-17,8.42E+15,3,tori paitan ramen
5,01-01-17,4.79E+15,1,truffle butter ramen
6,01-01-17,4.79E+15,1,truffle butter ramen
7,01-01-17,8.25E+15,1,tonkotsu ramen
8,01-01-17,8.25E+15,1,tonkotsu ramen
9,01-01-17,3.12E+15,1,vegetarian spicy miso
10,01-01-17,3.12E+15,1,vegetarian spicy miso
11,01-01-17,5.19E+15,1,shio ramen
12,01-01-17,5.19E+15,1,shio ramen
13,01-01-17,1.63E+15,1,tori paitan ramen
14,01-01-17,1.63E+15,1,tori paitan ramen
15,01-01-17,5.05E+14,1,vegetarian spicy miso
16,01-01-17,5.05E+14,1,vegetarian spicy miso
17,01-01-17,5.01E+15,1,spicy miso ramen
18,01-01-17,5.01E+15,1,spicy miso ramen
19,01-01-17,1.79E+15,2,truffle butter ramen
20,01-01-17,1.79E+15,2,truffle butter ramen
21,01-01-17,7.62E+14,2,tonkotsu ramen
22,01-01-17,7.62E+14,2,tonkotsu ramen
23,01-01-17,9.02E+15,1,truffle butter ramen
24,01-01-17,9.02E+15,1,truffle butter ramen
25,01-01-17,8.39E+15,2,tori paitan ramen
26,01-01-17,8.39E+15,2,tori paitan ramen
27,01-01-17,8.41E+15,1,spicy miso ramen
28,01-01-17,8.41E+15,1,spicy miso ramen
29,01-01-17,9.30E+15,1,vegetarian spicy miso
30,01-01-17,9.30E+15,1,vegetarian spicy miso
31,01-01-17,4.84E+15,1,vegetarian spicy miso
32,01-01-17,4.84E+15,1,vegetarian spicy miso
33,01-01-17,6.23E+15,4,tonkotsu ramen
34,01-01-17,6.23E+15,4,tonkotsu ramen
35,01-01-17,2.64E+15,4,miso crab ramen
36,01-01-17,2.64E+15,4,miso crab ramen
37,01-01-17,9.50E+15,1,miso crab ramen
38,01-01-17,9.50E+15,1,miso crab ramen
39,01-01-17,5.57E+15,1,nagomi shoyu
40,01-01-17,5.57E+15,1,nagomi shoyu
41,01-01-17,2.21E+15,1,truffle butter ramen
42,01-01-17,2.21E+15,1,truffle butter ramen
43,01-01-17,6.13E+15,1,tori paitan ramen
44,01-01-17,6.13E+15,1,tori paitan ramen
45,01-01-17,4.57E+15,1,truffle butter ramen
46,01-01-17,4.57E+15,1,truffle butter ramen
47,01-01-17,8.67E+15,1,vegetarian spicy miso
48,01-01-17,8.67E+15,1,vegetarian spicy miso
49,01-01-17,9.45E+15,1,soft-shell miso crab ramen
50,01-01-17,9.45E+15,1,soft-shell miso crab ramen
51,01-01-17,9.72E+15,3,nagomi shoyu
52,01-01-17,9.72E+15,3,nagomi shoyu
53,01-01-17,5.08E+15,1,tori paitan ramen
54,01-01-17,5.08E+15,1,tori paitan ramen
55,01-01-17,6.76E+15,1,shio ramen
56,01-01-17,6.76E+15,1,shio ramen
57,01-01-17,2.93E+15,2,nagomi shoyu
58,01-01-17,2.93E+15,2,nagomi shoyu
59,01-01-17,2.55E+13,1,soft-shell miso crab ramen
60,01-01-17,2.55E+13,1,soft-shell miso crab ramen
61,01-01-17,6.83E+15,1,tonkotsu ramen
62,01-01-17,6.83E+15,1,tonkotsu ramen
63,01-01-17,6.09E+15,1,truffle butter ramen
64,01-01-17,6.09E+15,1,truffle butter ramen
65,01-01-17,6.87E+15,1,spicy miso ramen
66,01-01-17,6.87E+15,1,spicy miso ramen
67,01-01-17,6.64E+15,1,burnt garlic tonkotsu ramen
68,01-01-17,6.64E+15,1,burnt garlic tonkotsu ramen
69,01-01-17,2.04E+14,2,soft-shell miso crab ramen
70,01-01-17,2.04E+14,2,soft-shell miso crab ramen
71,01-01-17,1.65E+14,4,spicy miso ramen
72,01-01-17,1.65E+14,4,spicy miso ramen
73,01-01-17,2.32E+15,1,vegetarian spicy miso
74,01-01-17,2.32E+15,1,vegetarian spicy miso
75,01-01-17,6.28E+15,3,burnt garlic tonkotsu ramen
76,01-01-17,6.28E+15,3,burnt garlic tonkotsu ramen
77,01-01-17,5.37E+15,4,miso crab ramen
78,01-01-17,5.37E+15,4,miso crab ramen
79,01-01-17,7.43E+15,3,truffle butter ramen
80,01-01-17,7.43E+15,3,truffle butter ramen
81,01-01-17,7.92E+15,3,vegetarian spicy miso
82,01-01-17,7.92E+15,3,vegetarian spicy miso
83,01-01-17,9.23E+15,1,tori paitan ramen
84,01-01-17,9.23E+15,1,tori paitan ramen
85,01-01-17,5.36E+15,1,tonkotsu ramen
86,01-01-17,5.36E+15,1,tonkotsu ramen
87,01-01-17,3.53E+14,1,vegetarian spicy miso
88,01-01-17,3.53E+14,1,vegetarian spicy miso
89,01-01-17,3.16E+15,1,tonkotsu ramen
90,01-01-17,3.16E+15,1,tonkotsu ramen
91,01-01-17,3.45E+15,1,truffle butter ramen
92,01-01-17,3.45E+15,1,truffle butter ramen
93,01-01-17,3.24E+15,1,vegetarian curry + king trumpet mushroom ramen
94,01-01-17,3.24E+15,1,vegetarian curry + king trumpet mushroom ramen
95,01-01-17,2.77E+15,1,vegetarian spicy miso
96,01-01-17,2.77E+15,1,vegetarian spicy miso
97,01-01-17,1.50E+15,3,truffle butter ramen
98,01-01-17,1.50E+15,3,truffle butter ramen
99,01-01-17,1.00E+16,1,nagomi shoyu
100,01-01-17,1.00E+16,1,nagomi shoyu
101,01-01-17,9.86E+15,1,truffle butter ramen
102,01-01-17,9.86E+15,1,truffle butter ramen
103,01-01-17,6.90E+15,1,tori paitan ramen
104,01-01-17,6.90E+15,1,tori paitan ramen
105,01-01-17,4.40E+14,1,vegetarian curry + king trumpet mushroom ramen
106,01-01-17,4.40E+14,1,vegetarian curry + king trumpet mushroom ramen
107,01-01-17,2.58E+15,1,spicy miso ramen
108,01-01-17,2.58E+15,1,spicy miso ramen
109,01-01-17,2.01E+15,1,tori paitan ramen
110,01-01-17,2.01E+15,1,tori paitan ramen
111,01-01-17,3.67E+15,1,tori paitan ramen
112,01-01-17,3.67E+15,1,tori paitan ramen
113,01-01-17,4.75E+15,2,vegetarian spicy miso
114,01-01-17,4.75E+15,2,vegetarian spicy miso
115,01-01-17,1.74E+15,1,burnt garlic tonkotsu ramen
116,01-01-17,1.74E+15,1,burnt garlic tonkotsu ramen
117,01-01-17,3.92E+15,1,burnt garlic tonkotsu ramen
118,01-01-17,3.92E+15,1,burnt garlic tonkotsu ramen
119,01-01-17,2.56E+15,1,burnt garlic tonkotsu ramen
120,01-01-17,2.56E+15,1,burnt garlic tonkotsu ramen
121,01-01-17,7.30E+15,1,vegetarian spicy miso
122,01-01-17,7.30E+15,1,vegetarian spicy miso
123,01-01-17,1.98E+14,1,vegetarian curry + king trumpet mushroom ramen
124,01-01-17,1.98E+14,1,vegetarian curry + king trumpet mushroom ramen
125,01-01-17,9.05E+14,1,nagomi shoyu
126,01-01-17,9.05E+14,1,nagomi shoyu
127,01-01-17,7.11E+15,4,nagomi shoyu
128,01-01-17,7.11E+15,4,nagomi shoyu
129,01-01-17,3.28E+15,1,burnt garlic tonkotsu ramen
130,01-01-17,3.28E+15,1,burnt garlic tonkotsu ramen
131,01-01-17,3.65E+15,1,nagomi shoyu
132,01-01-17,3.65E+15,1,nagomi shoyu
133,01-01-17,1.55E+15,1,vegetarian spicy miso
134,01-01-17,1.55E+15,1,vegetarian spicy miso
135,01-01-17,5.88E+15,1,truffle butter ramen
136,01-01-17,5.88E+15,1,truffle butter ramen
137,01-01-17,2.94E+15,1,truffle butter ramen
138,01-01-17,2.94E+15,1,truffle butter ramen
139,01-01-17,1.36E+14,1,shio ramen
140,01-01-17,1.36E+14,1,shio ramen
141,01-01-17,7.83E+15,1,vegetarian curry + king trumpet mushroom ramen
142,01-01-17,7.83E+15,1,vegetarian curry + king trumpet mushroom ramen
143,01-01-17,8.94E+13,1,nagomi shoyu
144,01-01-17,8.94E+13,1,nagomi shoyu
145,01-01-17,9.96E+15,1,vegetarian spicy miso
146,01-01-17,9.96E+15,1,vegetarian spicy miso
147,01-01-17,8.94E+15,1,vegetarian curry + king trumpet mushroom ramen
148,01-01-17,8.94E+15,1,vegetarian curry + king trumpet mushroom ramen
149,01-01-17,4.44E+15,1,shio ramen
150,01-01-17,4.44E+15,1,shio ramen
151,01-01-17,2.23E+15,1,shio ramen
152,01-01-17,2.23E+15,1,shio ramen
153,01-01-17,9.70E+14,1,vegetarian spicy miso
154,01-01-17,9.70E+14,1,vegetarian spicy miso
155,01-01-17,9.88E+15,2,soft-shell miso crab ramen
156,01-01-17,9.88E+15,2,soft-shell miso crab ramen
157,01-01-17,6.27E+14,2,shio ramen
158,01-01-17,6.27E+14,2,shio ramen
159,01-01-17,8.84E+14,1,vegetarian spicy miso
160,01-01-17,8.84E+14,1,vegetarian spicy miso
161,01-01-17,5.93E+15,1,nagomi shoyu
162,01-01-17,5.93E+15,1,nagomi shoyu
163,01-01-17,2.98E+15,1,vegetarian spicy miso
164,01-01-17,2.98E+15,1,vegetarian spicy miso
165,01-01-17,3.65E+13,3,tori paitan ramen
166,01-01-17,3.65E+13,3,tori paitan ramen
167,01-01-17,6.45E+14,2,miso crab ramen
168,01-01-17,6.45E+14,2,miso crab ramen
169,01-01-17,9.35E+15,1,vegetarian curry + king trumpet mushroom ramen
170,01-01-17,9.35E+15,1,vegetarian curry + king trumpet mushroom ramen
171,01-01-17,4.74E+15,1,tori paitan ramen
172,01-01-17,4.74E+15,1,tori paitan ramen
173,01-01-17,7.46E+15,1,truffle butter ramen
174,01-01-17,7.46E+15,1,truffle butter ramen
175,01-01-17,8.94E+15,1,spicy miso ramen
176,01-01-17,8.94E+15,1,spicy miso ramen
177,01-01-17,1.08E+15,1,spicy miso ramen
178,01-01-17,1.08E+15,1,spicy miso ramen
179,01-01-17,3.70E+15,1,spicy miso ramen
180,01-01-17,3.70E+15,1,spicy miso ramen
181,01-01-17,1.60E+14,1,soft-shell miso crab ramen
182,01-01-17,1.60E+14,1,soft-shell miso crab ramen
183,01-01-17,9.35E+15,1,soft-shell miso crab ramen
184,01-01-17,9.35E+15,1,soft-shell miso crab ramen
185,01-01-17,9.21E+15,3,spicy miso ramen
186,01-01-17,9.21E+15,3,spicy miso ramen
187,01-01-17,4.00E+15,1,vegetarian curry + king trumpet mushroom ramen
188,01-01-17,4.00E+15,1,vegetarian curry + king trumpet mushroom ramen
189,01-02-17,2.41E+15,2,soft-shell miso crab ramen
190,01-02-17,2.41E+15,2,soft-shell miso crab ramen
191,01-02-17,1.07E+15,1,miso crab ramen
192,01-02-17,1.07E+15,1,miso crab ramen
193,01-02-17,1.29E+15,1,nagomi shoyu
194,01-02-17,1.29E+15,1,nagomi shoyu
195,01-02-17,7.11E+15,1,tonkotsu ramen
196,01-02-17,7.11E+15,1,tonkotsu ramen
197,01-02-17,8.52E+15,1,tori paitan ramen
198,01-02-17,8.52E+15,1,tori paitan ramen
199,01-02-17,6.28E+15,1,vegetarian curry + king trumpet mushroom ramen
200,01-02-17,6.28E+15,1,vegetarian curry + king trumpet mushroom ramen
201,01-03-17,5.26E+15,4,burnt garlic tonkotsu ramen
202,01-03-17,5.26E+15,4,burnt garlic tonkotsu ramen
203,01-03-17,3.07E+15,1,shio ramen
204,01-03-17,3.07E+15,1,shio ramen
205,01-03-17,7.29E+15,1,shio ramen
206,01-03-17,7.29E+15,1,shio ramen
207,01-03-17,5.53E+15,1,spicy miso ramen
208,01-03-17,5.53E+15,1,spicy miso ramen
209,01-03-17,5.92E+15,2,vegetarian curry + king trumpet mushroom ramen
210,01-03-17,5.92E+15,2,vegetarian curry + king trumpet mushroom ramen
211,01-03-17,9.57E+15,1,tonkotsu ramen
212,01-03-17,9.57E+15,1,tonkotsu ramen
213,01-03-17,1.33E+15,1,burnt garlic tonkotsu ramen
214,01-03-17,1.33E+15,1,burnt garlic tonkotsu ramen
215,01-03-17,7.37E+15,1,soft-shell miso crab ramen
216,01-03-17,7.37E+15,1,soft-shell miso crab ramen
217,01-03-17,9.31E+15,1,spicy miso ramen
218,01-03-17,9.31E+15,1,spicy miso ramen
219,01-03-17,9.74E+15,1,soft-shell miso crab ramen
220,01-03-17,9.74E+15,1,soft-shell miso crab ramen
221,01-03-17,8.02E+15,1,tonkotsu ramen
222,01-03-17,8.02E+15,1,tonkotsu ramen
223,01-03-17,8.73E+15,1,tori paitan ramen
224,01-03-17,8.73E+15,1,tori paitan ramen
225,01-03-17,6.85E+15,1,truffle butter ramen
226,01-03-17,6.85E+15,1,truffle butter ramen
227,01-03-17,8.99E+15,1,soft-shell miso crab ramen
228,01-03-17,8.99E+15,1,soft-shell miso crab ramen
229,01-03-17,1.72E+15,2,miso crab ramen
230,01-03-17,1.72E+15,2,miso crab ramen
231,01-03-17,2.38E+15,4,burnt garlic tonkotsu ramen
232,01-03-17,2.38E+15,4,burnt garlic tonkotsu ramen
233,01-03-17,7.56E+15,1,spicy miso ramen
234,01-03-17,7.56E+15,1,spicy miso ramen
235,01-03-17,7.80E+15,1,nagomi shoyu
236,01-03-17,7.80E+15,1,nagomi shoyu
237,01-03-17,1.84E+15,1,spicy miso ramen
238,01-03-17,1.84E+15,1,spicy miso ramen
239,01-03-17,4.33E+15,1,burnt garlic tonkotsu ramen
240,01-03-17,4.33E+15,1,burnt garlic tonkotsu ramen
241,01-03-17,2.97E+15,1,burnt garlic tonkotsu ramen
242,01-03-17,2.97E+15,1,burnt garlic tonkotsu ramen
243,01-03-17,6.97E+15,4,truffle butter ramen
244,01-03-17,6.97E+15,4,truffle butter ramen
245,01-03-17,6.16E+15,1,vegetarian curry + king trumpet mushroom ramen
246,01-03-17,6.16E+15,1,vegetarian curry + king trumpet mushroom ramen
247,01-03-17,6.34E+15,1,soft-shell miso crab ramen
248,01-03-17,6.34E+15,1,soft-shell miso crab ramen
249,01-03-17,8.22E+15,1,soft-shell miso crab ramen
250,01-03-17,8.22E+15,1,soft-shell miso crab ramen
251,01-03-17,2.60E+15,1,tori paitan ramen
252,01-03-17,2.60E+15,1,tori paitan ramen
253,01-03-17,3.10E+14,1,shio ramen
254,01-03-17,3.10E+14,1,shio ramen
255,01-03-17,9.36E+15,1,truffle butter ramen
256,01-03-17,9.36E+15,1,truffle butter ramen
257,01-03-17,6.01E+15,1,spicy miso ramen
258,01-03-17,6.01E+15,1,spicy miso ramen
